rxns,pgi1,pgi2,pgi4,pgi5,pgi6,pgi7,pgi8,pts1,pts2,pts3,pts4,sdh1,sdh2,sdh3,tpi1,tpi2,tpi3
EX_isetac_e,-0.00000003,0,0,0,-0.00000005,0,0,0,0,0,0,0,0,0,0,0,0
EX_k_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_LalaDgluMdap_e,0,-0.00000006,0,0,0,0,0,0,0,0,0,0,0.00000002,0,-0.00000006,0.000002,0
EX_LalaDgluMdapDala_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_LalaLglu_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_kdo2lipid4_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ac_e,0,0,2.04893173,0,0,0.59,1.07433357,8.26,2.98,10.52,2.75,12.91,13.6,13.67,2.96,2.72,2.22
EX_crn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acac_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acald_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lac__D_e,0,0,0,0,0,0,0,1.38,0,2.29,0,0,0,0,3.43,2.35,4.28887279
EX_lac__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_crn__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lcts_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acgal_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acgal1p_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acgam_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_leu__L_e,0,-0.00000094,-0.00000004,-0.00000001,0,0.00016562,0,0,-0.00000007,-0.00000003,0,0,-0.00000006,-0.00000007,-0.00000098,0.00002878,0
EX_csn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acgam1p_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acmana_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acmum_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lipa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cu_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lipa_cold_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acnam_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acolipa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cu2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acser_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ade_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_adn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_adocbl_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ag_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lipoate_e,-0.00000007,0,0,0,-0.0000001,0,0,0,0,0,0,0,0,0,0,0,-0.00000013
EX_lys__L_e,0,-0.00000072,-0.00000003,-0.00000001,0,0.00013702,0,0,-0.00000005,-0.00000002,0,0,-0.00000005,-0.00000005,-0.00000074,0.00002192,0
EX_lyx__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mal__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_agm_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_akg_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cyan_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ala_B_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ala__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ala__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_alaala_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_all__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_alltn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_amp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_anhgm_e,0,-0.00000006,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000006,0,0
EX_arab__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mal__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_malt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_malthx_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_maltpt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_malttr_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_maltttr_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_man_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cynt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_man6p_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_manglyc_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_melib_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cys__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_meoh_e,0.00000133,0.00000116,0.00000139,0.00000123,0.00000136,0.00000132,0.00000136,0.00000106,0.0000015,0.00000111,0.00000164,0.00000174,0.00000181,0.00000179,0,0,0.00000088
EX_met__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_arbt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_arbtn_e,0.00000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_arbtne3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_met__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cys__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_metsox_R__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_metsox_S__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mg2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mincyc_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_minohp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mmet_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_arg__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ascb__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_asn__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_aso3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_asp__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_btn_e,-0.00000005,0,0,0,-0.00000006,0,0,0,0,0,0,0,0,0,0,0,0
EX_but_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mn2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mnl_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mobd_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mso3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_n2o_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_na1_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_nac_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_nh4_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_butso3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ca2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cbi_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cytd_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cbl1_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cd2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cgly_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ni2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_nmn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_no_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_no2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_no3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_novbcn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_o16a4colipa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_o2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_o2s_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ocdca_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ocdcea_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_octa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_orn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_orot_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pacald_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_peamn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_phe__L_e,0,-0.00000039,-0.00000002,0,0,0.0000681,0,0,-0.00000003,-0.00000001,0,0,-0.00000002,-0.00000003,-0.0000004,0.00001184,0
EX_pheme_e,0,0.00006464,0.00007723,0.00006848,0,0.00007411,0.00007448,0.00005836,0.0000838,0.0000621,0.00008917,0.00009616,0.00010081,0.00009967,0.00005257,0.00005377,0
EX_chol_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_chtbs_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cit_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cl_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pi_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dad_2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pnto__R_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ppa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_damp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ppal_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dca_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pppn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ppt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dcmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pro__L_e,0,0,0,0,0,0.00007479,0,0,0,0,0,0,0,0,0,0.00001304,0
EX_dcyt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_progly_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_psclys_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ddca_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pser__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ptrc_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dgmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dgsn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_val__L_e,0,-0.00000088,-0.00000004,-0.00000001,0,0.00015556,0,0,-0.00000006,-0.00000003,0,0,-0.00000006,-0.00000007,-0.00000092,0.00002703,0
EX_xan_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dha_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54278212,0,0
EX_xmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dimp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_din_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_xtsn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pydam_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_xyl__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_xylu__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_zn2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12DGR120tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12DGR140tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12DGR141tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12DGR160tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000281,0
12DGR161tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000495,0
12DGR180tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pydx_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pydxn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pyr_e,0,0,0.98433633,0.51549251,0,0,0,0,0,0,0,0,0,0,0.08770591,0.69240083,0
EX_quin_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00965398,0,0
EX_r5p_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_rfamp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_rib__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_rmn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_sbt__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_sel_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ser__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ser__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_skm_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12DGR181tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12PPDRtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12PPDRtpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dms_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12PPDStex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12PPDStpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14GLUCANabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_slnt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_so2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_so3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dmso_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_so4_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_spmd_e,0,-0.00000001,-0.00000001,0,0,0.00006435,0,0,-0.00000002,-0.00000001,0,0,-0.00000002,-0.00000003,-0.00000001,0.00001244,0
EX_succ_e,0,0,0,0,0,0,0,0.21,0,1.18,0,0.00107711,0.3,0.27,0,0,0
14GLUCANtexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23CAMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23CCMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_sucr_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_sulfac_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23CGMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_tartr__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23CUMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dopa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23DAPPAt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23DAPPAtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23PDE2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23PDE4pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_tartr__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_taur_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_tcynt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23PDE7pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23PDE9pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_doxrbcn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26DAHtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AGPA120tipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
